id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
110430_WarrenMacDonald_ACrushingConnection_MRH1110,A Crushing Connection,Warren MacDonald,,audio/110430_WarrenMacDonald_ACrushingConnection_MRH1110.mp3,transcripts/text/110430_WarrenMacDonald_ACrushingConnection_MRH1110.text,transcripts/vtt/110430_WarrenMacDonald_ACrushingConnection_MRH1110.vtt,transcripts/json/110430_WarrenMacDonald_ACrushingConnection_MRH1110.json
101021_AndrewSolomon_ATimeOfHope_MRH1101,A Time Of Hope,Andrew Solomon,,audio/101021_AndrewSolomon_ATimeOfHope_MRH1101.mp3,transcripts/text/101021_AndrewSolomon_ATimeOfHope_MRH1101.text,transcripts/vtt/101021_AndrewSolomon_ATimeOfHope_MRH1101.vtt,transcripts/json/101021_AndrewSolomon_ATimeOfHope_MRH1101.json
110720_AnnieDuke_AHouseDivided_POD,A House Divided,Annie Duke,,audio/110720_AnnieDuke_AHouseDivided_POD.mp3,transcripts/text/110720_AnnieDuke_AHouseDivided_POD.text,transcripts/vtt/110720_AnnieDuke_AHouseDivided_POD.vtt,transcripts/json/110720_AnnieDuke_AHouseDivided_POD.json
060607_ElnaBaker_YesMeansYes_MRH1001,Yes Means Yes?,Elna Baker,,audio/060607_ElnaBaker_YesMeansYes_MRH1001.mp3,transcripts/text/060607_ElnaBaker_YesMeansYes_MRH1001.text,transcripts/vtt/060607_ElnaBaker_YesMeansYes_MRH1001.vtt,transcripts/json/060607_ElnaBaker_YesMeansYes_MRH1001.json
140828_AndrewSolomon_AtTheBarricade_MRH1517,At The Barricade,Andrew Solomon,,audio/140828_AndrewSolomon_AtTheBarricade_MRH1517.mp3,transcripts/text/140828_AndrewSolomon_AtTheBarricade_MRH1517.text,transcripts/vtt/140828_AndrewSolomon_AtTheBarricade_MRH1517.vtt,transcripts/json/140828_AndrewSolomon_AtTheBarricade_MRH1517.json
140528_TaylorNegron_CaliforniaGothic_MRH1422,California Gothic,Taylor Negron,,audio/140528_TaylorNegron_CaliforniaGothic_MRH1422.mp3,transcripts/text/140528_TaylorNegron_CaliforniaGothic_MRH1422.text,transcripts/vtt/140528_TaylorNegron_CaliforniaGothic_MRH1422.vtt,transcripts/json/140528_TaylorNegron_CaliforniaGothic_MRH1422.json
091020_IrenePepperberg_AlexAndMe_POD,Alex And Me,Irene Pepperberg,,audio/091020_IrenePepperberg_AlexAndMe_POD.mp3,transcripts/text/091020_IrenePepperberg_AlexAndMe_POD.text,transcripts/vtt/091020_IrenePepperberg_AlexAndMe_POD.vtt,transcripts/json/091020_IrenePepperberg_AlexAndMe_POD.json
090715_JoanBuck_TheGhostOfRueJacob_MRH1003,The Ghost Of Rue Jacob,Joan Juliet Buck,,audio/090715_JoanBuck_TheGhostOfRueJacob_MRH1003.mp3,transcripts/text/090715_JoanBuck_TheGhostOfRueJacob_MRH1003.text,transcripts/vtt/090715_JoanBuck_TheGhostOfRueJacob_MRH1003.vtt,transcripts/json/090715_JoanBuck_TheGhostOfRueJacob_MRH1003.json
140215_HoraceSanders_AboutYouAndMe_MRH1419,About You And Me,Horace H.B. Sanders,,audio/140215_HoraceSanders_AboutYouAndMe_MRH1419.mp3,transcripts/text/140215_HoraceSanders_AboutYouAndMe_MRH1419.text,transcripts/vtt/140215_HoraceSanders_AboutYouAndMe_MRH1419.vtt,transcripts/json/140215_HoraceSanders_AboutYouAndMe_MRH1419.json
141112_DoriSamadzaiBonner_ANewHome_MRH1516,A New Home,Dori Samadzai Bonner,,audio/141112_DoriSamadzaiBonner_ANewHome_MRH1516.mp3,transcripts/text/141112_DoriSamadzaiBonner_ANewHome_MRH1516.text,transcripts/vtt/141112_DoriSamadzaiBonner_ANewHome_MRH1516.vtt,transcripts/json/141112_DoriSamadzaiBonner_ANewHome_MRH1516.json
110307_GregWalloch_AboutToEatCake_MRH1418,About To Eat Cake,Greg Walloch,,audio/110307_GregWalloch_AboutToEatCake_MRH1418.mp3,transcripts/text/110307_GregWalloch_AboutToEatCake_MRH1418.text,transcripts/vtt/110307_GregWalloch_AboutToEatCake_MRH1418.vtt,transcripts/json/110307_GregWalloch_AboutToEatCake_MRH1418.json
100603_MarkKatz_AlGoreIsSoBoring_MRH1110,Al Gore Is So Boring,Mark Katz,,audio/100603_MarkKatz_AlGoreIsSoBoring_MRH1110.mp3,transcripts/text/100603_MarkKatz_AlGoreIsSoBoring_MRH1110.text,transcripts/vtt/100603_MarkKatz_AlGoreIsSoBoring_MRH1110.vtt,transcripts/json/100603_MarkKatz_AlGoreIsSoBoring_MRH1110.json
111111_TristanJimerson_ADishBestServedCold_MRH1203,A Dish Best Served Cold,Tristan Jimerson,,audio/111111_TristanJimerson_ADishBestServedCold_MRH1203.mp3,transcripts/text/111111_TristanJimerson_ADishBestServedCold_MRH1203.text,transcripts/vtt/111111_TristanJimerson_ADishBestServedCold_MRH1203.vtt,transcripts/json/111111_TristanJimerson_ADishBestServedCold_MRH1203.json
010605_AndrewSolomon_TheRefugees_MRH1404,The Refugees,Andrew Solomon,,audio/010605_AndrewSolomon_TheRefugees_MRH1404.mp3,transcripts/text/010605_AndrewSolomon_TheRefugees_MRH1404.text,transcripts/vtt/010605_AndrewSolomon_TheRefugees_MRH1404.vtt,transcripts/json/010605_AndrewSolomon_TheRefugees_MRH1404.json
141107_PamFlowers_AloneAcrossTheAtlantic_MRH1510,Alone Across The Atlantic,Pam Flowers,,audio/141107_PamFlowers_AloneAcrossTheAtlantic_MRH1510.mp3,transcripts/text/141107_PamFlowers_AloneAcrossTheAtlantic_MRH1510.text,transcripts/vtt/141107_PamFlowers_AloneAcrossTheAtlantic_MRH1510.vtt,transcripts/json/141107_PamFlowers_AloneAcrossTheAtlantic_MRH1510.json
140417_NatalieChanin_200OneOfAKindShirts_MRH1602,200 One-Of-A-Kind Shirts,Natalie Chanin,,audio/140417_NatalieChanin_200OneOfAKindShirts_MRH1602.mp3,transcripts/text/140417_NatalieChanin_200OneOfAKindShirts_MRH1602.text,transcripts/vtt/140417_NatalieChanin_200OneOfAKindShirts_MRH1602.vtt,transcripts/json/140417_NatalieChanin_200OneOfAKindShirts_MRH1602.json
120719_KambriCrews_ABlindEar_POD,A Blind Ear,Kambri Crews,,audio/120719_KambriCrews_ABlindEar_POD.mp3,transcripts/text/120719_KambriCrews_ABlindEar_POD.text,transcripts/vtt/120719_KambriCrews_ABlindEar_POD.vtt,transcripts/json/120719_KambriCrews_ABlindEar_POD.json
120916_NeilGaiman_AFathersPride_MRH1520,A Father's Pride,Neil Gaiman,,audio/120916_NeilGaiman_AFathersPride_MRH1520.mp3,transcripts/text/120916_NeilGaiman_AFathersPride_MRH1520.text,transcripts/vtt/120916_NeilGaiman_AFathersPride_MRH1520.vtt,transcripts/json/120916_NeilGaiman_AFathersPride_MRH1520.json
140411_SashaChanoff_AnImpossibleChoice_MRH1505,An Impossible Choice,Sasha Chanoff,,audio/140411_SashaChanoff_AnImpossibleChoice_MRH1505.mp3,transcripts/text/140411_SashaChanoff_AnImpossibleChoice_MRH1505.text,transcripts/vtt/140411_SashaChanoff_AnImpossibleChoice_MRH1505.vtt,transcripts/json/140411_SashaChanoff_AnImpossibleChoice_MRH1505.json
050323_TedConover_AllPrisonersLie_POD,All Prisoners Lie,Ted Conover,,audio/050323_TedConover_AllPrisonersLie_POD.mp3,transcripts/text/050323_TedConover_AllPrisonersLie_POD.text,transcripts/vtt/050323_TedConover_AllPrisonersLie_POD.vtt,transcripts/json/050323_TedConover_AllPrisonersLie_POD.json
